ticker,company_name,exchange,industry,market_cap,universe_order,session_date,close,daily_change_pct,weighted_momentum_score,stock_return_90d,index_return_90d,relative_performance,rs_pct,weighted_momentum_pct,rs_pct_blended,rs_rating,weighted_momentum_rating,latest_rs_rating
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-04-26,0.3569349944591522,1.9170712899079012,0.8531265174319014,-0.1957481678497791,-0.10886952374866288,-0.08687864410111623,0.5641025641025641,0.46153846153846156,0.49230769230769234,49,46,87
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-04-27,0.3534390032291412,-0.9794475981007023,-3.963824985129194,-0.21981934485967158,-0.13171275835635,-0.0881065865033216,0.6153846153846154,0.28205128205128205,0.382051282051282,38,29,87
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-04-28,0.3645049929618835,3.130947527477046,5.903809165712737,-0.2110366741999502,-0.14390267725157402,-0.06713399694837618,0.6410256410256411,0.7948717948717948,0.7487179487179486,74,79,87
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-04-29,0.3470450043678283,-4.790054712880432,2.5113236641713055,-0.15355909891960628,-0.10389413854528917,-0.04966496037431711,0.6666666666666666,0.7692307692307693,0.7384615384615384,73,76,87
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-04-30,0.3504340052604675,0.9765306660479034,2.326116904671194,-0.13626427434598654,-0.0930044087979831,-0.04325986554800343,0.717948717948718,0.7692307692307693,0.7538461538461538,75,76,87
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-05-01,0.3499760031700134,-0.13069567552772554,2.017078875862932,-0.05797106797194396,-0.005623389787830391,-0.052347678184113566,0.6923076923076923,0.7435897435897436,0.7282051282051283,72,74,87
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-05-02,0.3573080003261566,2.094999968492517,7.16642044684026,-0.0026655994508418823,0.021861861825287265,-0.024527461276129148,0.6923076923076923,0.8461538461538461,0.8,79,84,87
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-05-03,0.3476279973983764,-2.7091481072195833,1.476788207071511,-0.07683480157558731,-0.0019130947258394482,-0.07492170684974786,0.6410256410256411,0.7435897435897436,0.7128205128205128,71,74,87
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-05-04,0.3586310148239136,3.1651700978871045,6.076494873641858,-0.02001070249562298,0.05545633582320342,-0.0754670383188264,0.6923076923076923,0.8205128205128205,0.7820512820512819,78,81,87
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-05-05,0.360852986574173,0.6195704382540246,6.253145801194404,-0.013938978510232514,0.10829065613925692,-0.12222963464948944,0.6410256410256411,0.7435897435897436,0.7128205128205128,71,74,87
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-05-06,0.3885059952735901,7.663233983996154,6.98172744454828,0.2587878879173495,0.2986412623132313,-0.03985337439588177,0.6410256410256411,0.6153846153846154,0.6230769230769231,62,61,87
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-05-07,0.3874529898166656,-0.2710396930124426,6.520531108239425,0.12931414967344335,0.13400254011420554,-0.004688390440762191,0.7692307692307693,0.6153846153846154,0.6615384615384616,66,61,87
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-05-08,0.4448170065879822,14.805413373751474,22.606356006967054,0.29640420593583205,0.15739732966234454,0.1390068762734875,0.8461538461538461,0.7948717948717948,0.8102564102564102,80,79,87
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-05-09,0.439518004655838,-1.1912768292720477,25.85540038386536,0.32645436839832076,0.1480065622364528,0.17844780616186795,0.8717948717948718,0.8461538461538461,0.8538461538461539,85,84,87
TIA-USD,Celestia,Crypto,Layer 1,,44,2026-05-10,0.4537529945373535,3.2387728672599314,27.36876992552384,0.37707046614775686,0.1713921069226536,0.20567835922510325,0.8974358974358975,0.8717948717948718,0.8794871794871795,87,86,87
ALGO-USD,Algorand,Crypto,Layer 1,,36,2026-04-21,0.1032299995422363,,0.7284837531574384,-0.12134212171146075,-0.1457219776034634,0.024379855892002644,0.8974358974358975,0.41025641025641024,0.5564102564102564,56,41,84
ALGO-USD,Algorand,Crypto,Layer 1,,36,2026-04-22,0.103131003677845,-0.0958983481839426,2.682227187007813,-0.1293288061647654,-0.12585560946744945,-0.003473196697315939,0.8717948717948718,0.3076923076923077,0.47692307692307695,48,31,84
ALGO-USD,Algorand,Crypto,Layer 1,,36,2026-04-23,0.1047360002994537,1.556269758240969,-2.385077741578312,-0.12749083015009888,-0.125524418635506,-0.0019664115145928696,0.8717948717948718,0.1794871794871795,0.3871794871794872,39,19,84
ALGO-USD,Algorand,Crypto,Layer 1,,36,2026-04-24,0.1098899990320205,4.920942863801225,4.5784793003226465,-0.07171822481330303,-0.13079705780395778,0.05907883299065475,0.9230769230769231,0.41025641025641024,0.5641025641025641,56,41,84
ALGO-USD,Algorand,Crypto,Layer 1,,36,2026-04-25,0.1153450012207031,4.964056999484612,7.305249763169375,0.0071600389947885645,-0.10349975147194668,0.11065979046673524,0.9487179487179487,0.717948717948718,0.7871794871794872,78,71,84
ALGO-USD,Algorand,Crypto,Layer 1,,36,2026-04-26,0.1200240030884742,4.0565276503125025,8.474037854330874,-0.016760846188693,-0.10886952374866288,0.09210867755996988,0.9487179487179487,0.8717948717948718,0.8948717948717948,89,86,84
ALGO-USD,Algorand,Crypto,Layer 1,,36,2026-04-27,0.1168230026960372,-2.6669668650173506,8.963887056428321,-0.041483716972926854,-0.13171275835635,0.09022904138342314,0.9487179487179487,0.8717948717948718,0.8948717948717948,89,86,84
ALGO-USD,Algorand,Crypto,Layer 1,,36,2026-04-28,0.1118849962949752,-4.226912754425804,7.646881257225702,-0.10413882440334754,-0.14390267725157402,0.03976385284822648,0.8717948717948718,0.8461538461538461,0.8538461538461539,85,84,84
ALGO-USD,Algorand,Crypto,Layer 1,,36,2026-04-29,0.1103219985961914,-1.3969680927218175,8.91881256802456,-0.03467647621208858,-0.10389413854528917,0.06921766233320059,0.8974358974358975,0.8717948717948718,0.8794871794871795,87,86,84
ALGO-USD,Algorand,Crypto,Layer 1,,36,2026-04-30,0.1101230010390281,-0.18037885434952772,8.94960925428987,-0.01529063580469292,-0.0930044087979831,0.07771377299329019,0.9230769230769231,0.8974358974358975,0.9051282051282051,90,89,84
ALGO-USD,Algorand,Crypto,Layer 1,,36,2026-05-01,0.1085639968514442,-1.4156935180429486,7.342093404022876,0.04673291352565201,-0.005623389787830391,0.0523563033134824,0.8461538461538461,0.8717948717948718,0.864102564102564,86,86,84
ALGO-USD,Algorand,Crypto,Layer 1,,36,2026-05-02,0.1128029972314834,3.904609726039965,14.058924846817078,0.12232857707827827,0.021861861825287265,0.100466715252991,0.8974358974358975,0.8717948717948718,0.8794871794871795,87,86,84
ALGO-USD,Algorand,Crypto,Layer 1,,36,2026-05-03,0.1132799983024597,0.4228620539199257,10.676275332215512,0.08131844435690394,-0.0019130947258394482,0.08323153908274339,0.8717948717948718,0.8717948717948718,0.8717948717948718,86,86,84
ALGO-USD,Algorand,Crypto,Layer 1,,36,2026-05-04,0.1117530018091201,-1.3479842127667618,7.567664059787704,0.05552826680163103,0.05545633582320342,7.193097842761453e-05,0.8461538461538461,0.8461538461538461,0.8461538461538461,84,84,84
ALGO-USD,Algorand,Crypto,Layer 1,,36,2026-05-05,0.1200309991836547,7.407404938145512,12.429169468571843,0.16617602732407954,0.10829065613925692,0.05788537118482262,0.8717948717948718,0.8974358974358975,0.8897435897435897,88,89,84
ALGO-USD,Algorand,Crypto,Layer 1,,36,2026-05-06,0.1195250004529953,-0.4215567096006567,9.524603423863853,0.35391537171250476,0.2986412623132313,0.05527410939927346,0.8717948717948718,0.6923076923076923,0.7461538461538462,74,69,84
